Author	Year	Ecosystem	Ecosystem_Description	Matrix	Location	Residence_Time_d
Bouvier_del_Giorgio	2002	estuary	Middle_portion_-_gradient	water	Maryland	3
Bouvier_del_Giorgio	2002	estuary	Middle_portion_-_gradient	water	Maryland	20
Bouvier_del_Giorgio	2002	estuary	Middle_portion_-_gradient	water	Maryland	28
Bouvier_del_Giorgio	2002	estuary	Middle_portion_-_gradient	water	Maryland	7
Bouvier_del_Giorgio	2002	estuary	Lower_portion_-_saline	water	Maryland	16
Bouvier_del_Giorgio	2002	estuary	Lower_portion_-_saline	water	Maryland	77
Bouvier_del_Giorgio	2002	estuary	Lower_portion_-_saline	water	Maryland	147
Bouvier_del_Giorgio	2002	estuary	Lower_portion_-_saline	water	Maryland	34
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		18.58
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		13.85
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		8.57
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		5.96
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		4.99
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		5.47
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		5.96
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		6.5
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		7.02
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		7.63
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		8.16
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		8.79
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		9.39
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		10.09
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		10.72
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		11.46
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		12.08
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		12.77
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		13.56
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		14.13
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		15.12
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		15.84
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		17.11
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		12.77
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		8.07
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		5.82
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		4.56
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		3.73
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		3.19
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		3.42
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		3.8
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		4.23
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		4.64
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		5.09
Werner_Kadlec	1996	wetland	Artificial_stormwater_wetland	water		5.55
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	1.7
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	0.6
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	2.3
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	1
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	0.6
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	1.6
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	3.3
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	0.5
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	2.7
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	5.5
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	1.2
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	0.6
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	3.3
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	2.9
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	1.4
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	3.3
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	2.4
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	3
Gomez-Gesteria_etal	2003	estuary	partially_stratified_estuary_affected_by_upwelling	water	Spain	2.6
